YEAR,Car_Age,MILEAGE,CAR_PRICE
2008,15,147901,8495
2009,14,128560,10195
2010,13,97791,10495
2011,12,92420,12995
2012,11,57293,13495
2013,10,32047,17000
2014,9,76414,14999
2015,8,73647,15999
2016,7,39674,19892
2017,6,56308,18888
2018,5,64307,19998
2019,4,41549,22692
2020,3,32858,23999
2021,2,50615,21995
2022,1,20698,27998
2023,0,0,26890
